Date,Home Team,Away Team,Home Goals,Away Goals
2022-04-10,Espanol,Celta,1,0
2022-04-10,Elche,Sociedad,1,2
2022-04-10,Levante,Barcelona,2,3
2022-04-11,Vallecano,Valencia,1,1
2022-04-15,Sociedad,Betis,0,0
2022-04-16,Elche,Mallorca,3,0
2022-04-16,Alaves,Vallecano,1,0
2022-04-16,Valencia,Osasuna,1,2
2022-04-16,Getafe,Villarreal,1,2
2022-04-17,Granada,Levante,1,4
2022-04-17,Ath Madrid,Espanol,2,1
2022-04-17,Ath Bilbao,Celta,0,2
2022-04-17,Sevilla,Real Madrid,2,3
2022-04-18,Barcelona,Cadiz,0,1
2022-04-19,Mallorca,Alaves,2,1
2022-04-19,Betis,Elche,0,1
2022-04-19,Villarreal,Valencia,2,0
2022-04-20,Ath Madrid,Granada,0,0
2022-04-20,Celta,Getafe,0,2
2022-04-20,Osasuna,Real Madrid,1,3
2022-04-21,Espanol,Vallecano,0,1
2022-04-21,Levante,Sevilla,2,3
2022-04-21,Cadiz,Ath Bilbao,2,3
2022-04-21,Sociedad,Barcelona,0,1
2022-04-24,Barcelona,Vallecano,0,1
2022-04-29,Sevilla,Cadiz,1,1
2022-04-30,Alaves,Villarreal,2,1
2022-04-30,Real Madrid,Espanol,4,0
2022-04-30,Valencia,Levante,1,1
2022-04-30,Ath Bilbao,Ath Madrid,2,0
2022-05-01,Elche,Osasuna,1,1
2022-05-01,Granada,Celta,1,1
2022-05-01,Vallecano,Sociedad,1,1
2022-05-01,Barcelona,Mallorca,2,1
2022-05-02,Getafe,Betis,0,0
2022-05-06,Levante,Sociedad,2,1
2022-05-07,Mallorca,Granada,2,6
2022-05-07,Ath Bilbao,Valencia,0,0
2022-05-07,Cadiz,Elche,3,0
2022-05-07,Celta,Alaves,4,0
2022-05-07,Betis,Barcelona,1,2
2022-05-08,Getafe,Vallecano,0,0
2022-05-08,Villarreal,Sevilla,1,1
2022-05-08,Espanol,Osasuna,1,1
2022-05-08,Ath Madrid,Real Madrid,1,0
2022-05-10,Valencia,Betis,0,3
2022-05-10,Granada,Ath Bilbao,1,0
2022-05-10,Barcelona,Celta,3,1
2022-05-11,Alaves,Espanol,2,1
2022-05-11,Osasuna,Getafe,1,1
2022-05-11,Sevilla,Mallorca,0,0
2022-05-11,Elche,Ath Madrid,0,2
2022-05-12,Sociedad,Cadiz,3,0
2022-05-12,Vallecano,Villarreal,1,5
2022-05-12,Real Madrid,Levante,6,0
2022-05-14,Espanol,Valencia,1,1
2022-05-15,Ath Bilbao,Osasuna,2,0
2022-05-15,Ath Madrid,Sevilla,1,1
2022-05-15,Betis,Granada,2,0
2022-05-15,Cadiz,Real Madrid,1,1
2022-05-15,Celta,Elche,1,0
2022-05-15,Getafe,Barcelona,0,0
2022-05-15,Levante,Alaves,3,1
2022-05-15,Mallorca,Vallecano,2,1
2022-05-15,Villarreal,Sociedad,1,2
2022-05-20,Real Madrid,Betis,0,0
2022-05-20,Vallecano,Levante,2,4
2022-05-21,Valencia,Celta,2,0
2022-05-22,Elche,Getafe,3,1
2022-05-22,Alaves,Cadiz,0,1
2022-05-22,Granada,Espanol,0,0
2022-05-22,Osasuna,Mallorca,0,2
2022-05-22,Barcelona,Villarreal,0,2
2022-05-22,Sevilla,Ath Bilbao,1,0
2022-05-22,Sociedad,Ath Madrid,1,2
