Date,Home Team,Away Team,Home Goals,Away Goals
2022-03-12,Salernitana,Sassuolo,2,2
2022-03-12,Spezia,Cagliari,2,0
2022-03-12,Sampdoria,Juventus,1,3
2022-03-12,Milan,Empoli,1,0
2022-03-13,Fiorentina,Bologna,1,0
2022-03-13,Verona,Napoli,1,2
2022-03-13,Atalanta,Genoa,0,0
2022-03-13,Udinese,Roma,1,1
2022-03-13,Torino,Inter,1,1
2022-03-14,Lazio,Venezia,1,0
2022-03-18,Sassuolo,Spezia,4,1
2022-03-18,Genoa,Torino,1,0
2022-03-19,Napoli,Udinese,2,1
2022-03-19,Inter,Fiorentina,1,1
2022-03-19,Cagliari,Milan,0,1
2022-03-20,Venezia,Sampdoria,0,2
2022-03-20,Empoli,Verona,1,1
2022-03-20,Juventus,Salernitana,2,0
2022-03-20,Roma,Lazio,3,0
2022-03-20,Bologna,Atalanta,0,1
2022-04-02,Spezia,Venezia,1,0
2022-04-02,Lazio,Sassuolo,2,1
2022-04-02,Salernitana,Torino,0,1
2022-04-03,Fiorentina,Empoli,1,0
2022-04-03,Atalanta,Napoli,1,3
2022-04-03,Udinese,Cagliari,5,1
2022-04-03,Sampdoria,Roma,0,1
2022-04-03,Juventus,Inter,0,1
2022-04-04,Verona,Genoa,1,0
2022-04-04,Milan,Bologna,0,0
2022-04-09,Empoli,Spezia,0,0
2022-04-09,Inter,Verona,2,0
2022-04-09,Cagliari,Juventus,1,2
2022-04-10,Genoa,Lazio,1,4
2022-04-10,Napoli,Fiorentina,2,3
2022-04-10,Sassuolo,Atalanta,2,1
2022-04-10,Venezia,Udinese,1,2
2022-04-10,Roma,Salernitana,2,1
2022-04-10,Torino,Milan,0,0
2022-04-11,Bologna,Sampdoria,2,0
2022-04-15,Spezia,Inter,1,3
2022-04-15,Milan,Genoa,2,0
2022-04-16,Cagliari,Sassuolo,1,0
2022-04-16,Sampdoria,Salernitana,1,2
2022-04-16,Udinese,Empoli,4,1
2022-04-16,Fiorentina,Venezia,1,0
2022-04-16,Juventus,Bologna,1,1
2022-04-16,Lazio,Torino,1,1
2022-04-18,Napoli,Roma,1,1
2022-04-18,Atalanta,Verona,1,2
2022-04-20,Udinese,Salernitana,0,1
2022-04-23,Torino,Spezia,2,1
2022-04-23,Venezia,Atalanta,1,3
2022-04-23,Inter,Roma,3,1
2022-04-23,Verona,Sampdoria,1,1
2022-04-24,Salernitana,Fiorentina,2,1
